id,title,description,availability,condition,price,link,image_link,brand,item_group_id,size,sale_price,additional_image_link,origin_country,wa_compliance_category
YAS-030-YAS-030-500G,Toor Dal / కంది పప్పు — 500g,"Order Toor Dal (కంది పప్పు) from Yasvik. Quality checked packs, fair price, useful sizes and Hyderabad home delivery.",in stock,new,145.00 INR,https://www.yasvik.com/product/toor-dal,https://media.yasvik.com/media-assets/products/yasvik-toor-dal-hero.webp,Yasvik,YAS-030,500g,,,IN,DEFAULT
YAS-030-YAS-030-1KG,Toor Dal / కంది పప్పు — 1kg,"Order Toor Dal (కంది పప్పు) from Yasvik. Quality checked packs, fair price, useful sizes and Hyderabad home delivery.",in stock,new,145.00 INR,https://www.yasvik.com/product/toor-dal,https://media.yasvik.com/media-assets/products/yasvik-toor-dal-hero.webp,Yasvik,YAS-030,1kg,,,IN,DEFAULT
YAS-030-YAS-030-5KG,Toor Dal / కంది పప్పు — 5kg,"Order Toor Dal (కంది పప్పు) from Yasvik. Quality checked packs, fair price, useful sizes and Hyderabad home delivery.",in stock,new,705.00 INR,https://www.yasvik.com/product/toor-dal,https://media.yasvik.com/media-assets/products/yasvik-toor-dal-hero.webp,Yasvik,YAS-030,5kg,,,IN,DEFAULT
YAS-084-YAS-084-2KG,Organic Kaikuttal Rice / కైకుతల్ బియ్యం — 2kg,"Order Organic Kaikuttal Rice (కైకుత్తల్ బియ్యం) from Yasvik. Organic, sourced from Tamil Nadu, quality checked, fair price and Hyderabad home delivery.",in stock,new,228.00 INR,https://www.yasvik.com/product/organic-kaikuttal-rice,https://www.yasvik.com/media/brand/logo-horizontal.png,Yasvik,YAS-084,2kg,,,IN,DEFAULT
YAS-084-YAS-084-1KG,Organic Kaikuttal Rice / కైకుతల్ బియ్యం — 1kg,"Order Organic Kaikuttal Rice (కైకుత్తల్ బియ్యం) from Yasvik. Organic, sourced from Tamil Nadu, quality checked, fair price and Hyderabad home delivery.",in stock,new,114.00 INR,https://www.yasvik.com/product/organic-kaikuttal-rice,https://www.yasvik.com/media/brand/logo-horizontal.png,Yasvik,YAS-084,1kg,,,IN,DEFAULT
YAS-084-YAS-084-500G,Organic Kaikuttal Rice / కైకుతల్ బియ్యం — 500g,"Order Organic Kaikuttal Rice (కైకుత్తల్ బియ్యం) from Yasvik. Organic, sourced from Tamil Nadu, quality checked, fair price and Hyderabad home delivery.",in stock,new,67.00 INR,https://www.yasvik.com/product/organic-kaikuttal-rice,https://www.yasvik.com/media/brand/logo-horizontal.png,Yasvik,YAS-084,500g,,,IN,DEFAULT
YAS-084-YAS-084-250G,Organic Kaikuttal Rice / కైకుతల్ బియ్యం — 250g,"Order Organic Kaikuttal Rice (కైకుత్తల్ బియ్యం) from Yasvik. Organic, sourced from Tamil Nadu, quality checked, fair price and Hyderabad home delivery.",in stock,new,39.00 INR,https://www.yasvik.com/product/organic-kaikuttal-rice,https://www.yasvik.com/media/brand/logo-horizontal.png,Yasvik,YAS-084,250g,,,IN,DEFAULT
YAS-084-YAS-084-100G,Organic Kaikuttal Rice / కైకుతల్ బియ్యం — 100g,"Order Organic Kaikuttal Rice (కైకుత్తల్ బియ్యం) from Yasvik. Organic, sourced from Tamil Nadu, quality checked, fair price and Hyderabad home delivery.",in stock,new,21.00 INR,https://www.yasvik.com/product/organic-kaikuttal-rice,https://www.yasvik.com/media/brand/logo-horizontal.png,Yasvik,YAS-084,100g,,,IN,DEFAULT
YAS-084-YAS-084-50G,Organic Kaikuttal Rice / కైకుతల్ బియ్యం — 50g,"Order Organic Kaikuttal Rice (కైకుత్తల్ బియ్యం) from Yasvik. Organic, sourced from Tamil Nadu, quality checked, fair price and Hyderabad home delivery.",in stock,new,16.00 INR,https://www.yasvik.com/product/organic-kaikuttal-rice,https://www.yasvik.com/media/brand/logo-horizontal.png,Yasvik,YAS-084,50g,,,IN,DEFAULT
YAS-035-YAS-035-250G,Mango Pickle / Avakaya / ఆవకాయ / మామిడికాయ పచ్చడి — 250g,"Order Mango Pickle / Avakaya (ఆవకాయ / మామిడికాయ ఊరగాయ) from Yasvik. Quality checked packs, fair price, useful sizes and Hyderabad home delivery.",in stock,new,125.00 INR,https://www.yasvik.com/product/mango-pickle-avakaya,https://media.yasvik.com/media-assets/products/yasvik-asset-9.webp,Yasvik,YAS-035,250g,,,IN,DEFAULT
